BuildingType,PositionX,PositionY,PositionZ,RotX,RotY,RotZ
Light (19),239.97,-0.81,43.83,0,0,0
Light (9),44.43,-0.81,131.58,0,0,0
Light (32),370.11,-0.81,131.58,0,0,0
Light (14),165.3,-0.81,43.83,0,0,0
Light (13),165.3,-0.81,15.03,0,0,0
Light (34),288.03,-0.81,131.58,0,0,0
house5,224.157,6.463956,67,0,0,0
house5 (1),255.7614,6.46396,92.2,0,180,0
house5 (2),352.1187,6.463958,69.15,0,0,0
gate_wall2 (65),402.5,2.5,52.08998,0,90,0
gate_wall2 (1),-25.75,2.5,-9.05,0,90,0
gate_wall2 (26),46.28999,2.5,141.24,0,0,0
gate_wall_long (9),269.77,-0.03999996,141.22,0,0,0
gate_wall_long (5),304.17,-0.03999996,141.22,0,0,0
gate_wall2 (29),72.09,2.5,141.24,0,0,0
gate_wall2 (61),402.5,2.5,17.77998,0,90,0
gate_wall2 (63),402.5,2.5,34.91998,0,90,0
gate_wall2 (73),321.32,2.5,141.24,0,0,0
gate_wall2 (66),402.5,2.5,60.61998,0,90,0
gate_wall2 (69),402.5,2.5,86.34998,0,90,0
gate_wall_long (6),295.5601,-0.03999996,141.22,0,0,0
gate_wall2 (33),97.87001,2.5,141.24,0,0,0
gate_wall2 (56),390.0601,2.5,141.24,0,0,0
gate_wall2 (43),209.58,2.5,141.24,0,0,0
gate_wall2 (44),200.97,2.5,141.24,0,0,0
gate_wall2 (82),402.5,2.5,137.8,0,90,0
gate_wall2 (78),381.51,2.5,141.24,0,0,0
gate_wall2 (17),-25.75,2.5,137.83,0,90,0
gate_wall2 (79),364.32,2.5,141.24,0,0,0
gate_wall2 (48),218.17,2.5,141.24,0,0,0
gate_wall2 (49),166.61,2.5,141.24,0,0,0
gate_wall2 (85),402.5,2.5,112.09,0,90,0
gate_wall2 (74),329.9301,2.5,141.24,0,0,0
gate_wall2 (27),54.90001,2.5,141.24,0,0,0
gate_wall2 (58),402.5,2.5,-9.08002,0,90,0
gate_wall_long (7),286.96,-0.03999996,141.22,0,0,0
gate_wall2 (50),252.57,2.5,141.24,0,0,0
gate_wall_long (1),29.08,-0.03999996,141.22,0,0,0
gate_wall2 (32),106.48,2.5,141.24,0,0,0
gate_wall2 (72),312.76,2.5,141.24,0,0,0
gate_wall2 (83),402.5,2.5,129.19,0,90,0
gate_wall2 (47),226.78,2.5,141.24,0,0,0
gate_wall2 (46),243.97,2.5,141.24,0,0,0
gate_wall2 (19),-13.85,2.5,141.24,0,0,0
gate_wall_long (3),11.88,-0.03999996,141.22,0,0,0
gate_wall2 (35),123.64,2.5,141.24,0,0,0
gate_wall2 (2),-25.75,2.5,9.24,0,90,0
gate_wall2 (62),402.5,2.5,26.30998,0,90,0
gate_wall2 (71),402.5,2.5,103.49,0,90,0
gate_wall2 (80),355.71,2.5,141.24,0,0,0
gate_wall2 (13),-25.75,2.5,103.52,0,90,0
gate_wall2 (20),-5.269997,2.5,141.24,0,0,0
gate_wall2 (8),-25.75,2.5,60.65,0,90,0
gate_wall2 (11),-25.75,2.5,86.38,0,90,0
gate_wall2 (18),-22.46,2.5,141.24,0,0,0
gate_wall2 (28),63.48,2.5,141.24,0,0,0
gate_wall2 (67),402.5,2.5,69.22999,0,90,0
gate_wall2 (60),402.5,2.5,9.20998,0,90,0
gate_wall2 (40),175.22,2.5,141.24,0,0,0
gate_wall2 (75),347.1201,2.5,141.24,0,0,0
gate_wall2 (30),80.68001,2.5,141.24,0,0,0
gate_wall2 (41),183.78,2.5,141.24,0,0,0
gate_wall2 (84),402.5,2.5,120.66,0,90,0
gate_wall2 (51),261.1801,2.5,141.24,0,0,0
gate_wall2 (45),235.36,2.5,141.24,0,0,0
gate_wall2 (6),-25.75,2.5,43.55,0,90,0
gate_wall2 (70),402.5,2.5,94.87997,0,90,0
gate_wall2 (12),-25.75,2.5,94.91,0,90,0
gate_wall2 (9),-25.75,2.5,69.26001,0,90,0
gate_wall_long (4),3.290001,-0.03999996,141.22,0,0,0
gate_wall2 (16),-25.75,2.5,129.22,0,90,0
gate_wall2 (42),192.39,2.5,141.24,0,0,0
gate_wall2 (5),-25.75,2.5,34.95,0,90,0
gate_wall_long,37.69,-0.03999996,141.22,0,0,0
gate_wall2 (14),-25.75,2.5,112.12,0,90,0
gate_wall2 (31),89.28999,2.5,141.24,0,0,0
gate_wall2 (34),115.03,2.5,141.24,0,0,0
gate_wall2 (38),149.42,2.5,141.24,0,0,0
gate_wall2 (15),-25.75,2.5,120.69,0,90,0
gate_wall2 (77),372.9,2.5,141.24,0,0,0
gate_wall2 (57),398.67,2.5,141.24,0,0,0
gate_wall2 (10),-25.75,2.5,77.81,0,90,0
gate_wall2 (76),338.51,2.5,141.24,0,0,0
gate_wall_long (8),278.36,-0.03999996,141.22,0,0,0
gate_wall2 (37),140.83,2.5,141.24,0,0,0
gate_wall2 (36),132.22,2.5,141.24,0,0,0
gate_wall2 (64),402.5,2.5,43.51998,0,90,0
gate_wall_long (2),20.48,-0.03999996,141.22,0,0,0
gate_wall2 (68),402.5,2.5,77.77998,0,90,0
gate_wall2 (4),-25.75,2.5,26.34,0,90,0
gate_wall2 (39),158.03,2.5,141.24,0,0,0
gate_wall2 (3),-25.75,2.5,17.81,0,90,0
gate_wall2 (7),-25.75,2.5,52.12,0,90,0
